Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,220,161,101000.0,84565.41965681821,1863.5747999996966,102191.56530000054,69064.73636363636,0.7098341339606077,0.5194695253075355,101000,101000,101000,101000,101000,101000,101000,102000,102000,102000,102000
GET,/about/,124,46,45000.0,56675.4271451613,2569.119700000556,100902.97259999989,146428.84677419355,0.4000883300505243,0.1484198643735816,47000,100000,100000,100000,100000,100000,100000,101000,101000,101000,101000
GET,/become-a-show-creator/,33,27,100000.0,95477.15771515144,32602.390000000014,101060.75800000053,47640.90909090909,0.10647512009409114,0.08711600734971094,100000,100000,100000,100000,100000,101000,101000,101000,101000,101000,101000
GET,/blog/,65,1,14000.0,19339.679738461648,3826.7462000003434,100359.27859999993,236774.24615384615,0.20972372139745227,0.0032265187907300347,14000,20000,24000,27000,33000,39000,94000,100000,100000,100000,100000
GET,/contact/,77,0,11000.0,15231.496819480497,3588.6846999992486,69024.4413999999,228953.75324675324,0.24844194688621268,0.0,11000,15000,17000,19000,35000,42000,52000,69000,69000,69000,69000
GET,/intern/,72,0,7600.0,7607.548544444462,3385.0145000005796,12581.496200000402,228774.98611111112,0.2323093529325625,0.0,7700,8200,8700,8800,9400,11000,12000,13000,13000,13000,13000
GET,/knowledge-base/,58,0,5400.0,5782.232486206919,4546.624200000224,7658.1665999992765,253527.1379310345,0.187138089862342,0.0,5400,6200,6700,6800,7000,7500,7600,7700,7700,7700,7700
GET,/privacy/,60,0,5100.0,5256.944214999885,3863.925699999527,6906.680699999924,248994.5,0.19359112744380208,0.0,5100,5400,5600,5700,6300,6500,6800,6900,6900,6900,6900
GET,/youbloom-at-bloom-2025/,56,0,5300.0,5308.130639285601,4412.034799999674,6427.923599999303,225315.64285714287,0.18068505228088194,0.0,5300,5500,5700,5800,6000,6200,6200,6400,6400,6400,6400
POST,Login,114,44,57000.0,60135.38041052636,3304.9698000004355,101346.51399999985,141411.95614035087,0.367823142143224,0.14196682679212153,62000,100000,101000,101000,101000,101000,101000,101000,101000,101000,101000
POST,Signup,205,157,100000.0,85966.81848682924,3387.644899999941,101356.7410000005,58793.95121951219,0.6614363520996571,0.5065634501446155,100000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
POST,forgot password,104,38,60000.0,61537.477443269236,3361.092799999824,100752.94039999972,145978.29807692306,0.3355579542359236,0.12260771404774132,61000,100000,100000,100000,101000,101000,101000,101000,101000,101000,101000
,Aggregated,1188,474,44000.0,53524.503107744145,1863.5747999996966,102191.56530000054,143125.015993266,3.8331043233872815,1.5293699068060365,44000,100000,101000,101000,101000,101000,101000,101000,102000,102000,102000
